Morphology
Abr	Abr
P_pers_2_sg_-_dat	P
P_pers_2_sg_-_gen	P
P_pers_2_sg_-_ins	P
P_pers_2_sg_-_loc	P
P_pers_2_sg_-_nom	P
P_pers_2_sg_-_voc	P
P_pers_3_pl_-_acc	P
P_pers_3_pl_-_dat	P
P_pers_3_pl_f_nom	P
P_pers_3_pl_-_gen	P
P_pers_3_pl_-_ins	P
P_pers_3_pl_-_loc	P
P_pers_3_pl_m_nom	P
P_pers_3_pl_n_nom	P
P_pers_3_sg_f_acc	P
P_pers_3_sg_f_dat	P
P_pers_3_sg_f_gen	P
P_pers_3_sg_f_ins	P
P_pers_3_sg_f_loc	P
P_pers_3_sg_f_nom	P
P_pers_3_sg_m_acc	P
P_pers_3_sg_m_dat	P
P_pers_3_sg_m_gen	P
P_pers_3_sg_m_ins	P
P_pers_3_sg_m_loc	P
P_pers_3_sg_m_nom	P
P_pers_3_sg_n_acc	P
P_pers_3_sg_n_dat	P
P_pers_3_sg_n_gen	P
P_pers_3_sg_n_ins	P
P_pers_3_sg_n_loc	P
P_pers_3_sg_n_nom	P
P_pos_-_pl_f_acc	P
P_pos_-_pl_f_dat	P
P_pos_-_pl_f_gen	P
P_pos_-_pl_f_ins	P
P_pos_-_pl_f_loc	P
P_pos_-_pl_f_nom	P
P_pos_-_pl_f_voc	P
P_pos_-_pl_m_acc	P
P_pos_-_pl_m_dat	P
P_pos_-_pl_m_gen	P
P_pos_-_pl_m_ins	P
P_pos_-_pl_m_loc	P
P_pos_-_pl_m_nom	P
P_pos_-_pl_m_voc	P
P_pos_-_pl_n_acc	P
P_pos_-_pl_n_dat	P
P_pos_-_pl_n_gen	P
P_pos_-_pl_n_ins	P
P_pos_-_pl_n_loc	P
P_pos_-_pl_n_nom	P
P_pos_-_pl_n_voc	P
P_pos_-_sg_f_acc	P
P_pos_-_sg_f_dat	P
P_pos_-_sg_f_gen	P
P_pos_-_sg_f_ins	P
P_pos_-_sg_f_loc	P
P_pos_-_sg_f_nom	P
P_pos_-_sg_f_voc	P
P_pos_-_sg_m_acc	P
P_pos_-_sg_m_dat	P
P_pos_-_sg_m_gen	P
P_pos_-_sg_m_ins	P
P_pos_-_sg_m_loc	P
P_pos_-_sg_m_nom	P
P_pos_-_sg_m_voc	P
P_pos_-_sg_n_acc	P
P_pos_-_sg_n_dat	P
P_pos_-_sg_n_gen	P
P_pos_-_sg_n_ins	P
P_pos_-_sg_n_loc	P
P_pos_-_sg_n_nom	P
P_pos_-_sg_n_voc	P
P_ref_-_pl_f_acc	P
P_ref_-_pl_f_dat	P
P_ref_-_pl_f_gen	P
P_ref_-_pl_f_ins	P
P_ref_-_pl_f_loc	P
P_ref_-_pl_f_nom	P
P_ref_-_pl_m_acc	P
P_ref_-_pl_m_dat	P
P_ref_-_pl_m_gen	P
P_ref_-_pl_m_ins	P
P_ref_-_pl_m_loc	P
P_ref_-_pl_m_nom	P
P_ref_-_pl_n_acc	P
P_ref_-_pl_n_dat	P
P_ref_-_pl_n_gen	P
P_ref_-_pl_n_ins	P
P_ref_-_pl_n_loc	P
P_ref_-_pl_n_nom	P
P_ref_-_sg_-_acc	P
P_ref_-_sg_-_dat	P
P_ref_-_sg_f_acc	P
P_ref_-_sg_f_dat	P
P_ref_-_sg_f_gen	P
P_ref_-_sg_f_ins	P
P_ref_-_sg_f_loc	P
P_ref_-_sg_f_nom	P
P_ref_-_sg_-_gen	P
P_ref_-_sg_-_ins	P
P_ref_-_sg_-_loc	P
P_ref_-_sg_m_acc	P
P_ref_-_sg_m_dat	P
P_ref_-_sg_m_gen	P
P_ref_-_sg_m_ins	P
P_ref_-_sg_m_loc	P
P_ref_-_sg_m_nom	P
P_ref_-_sg_n_acc	P
P_ref_-_sg_n_dat	P
P_ref_-_sg_n_gen	P
P_ref_-_sg_n_ins	P
P_ref_-_sg_n_loc	P
P_ref_-_sg_n_nom	P
P_rel_-_pl_f_ins	P
P_rel_-_pl_f_loc	P
P_rel_-_pl_f_nom	P
P_rel_-_pl_m_acc	P
P_rel_-_pl_m_dat	P
P_rel_-_pl_m_gen	P
P_rel_-_pl_m_ins	P
P_rel_-_pl_m_loc	P
P_rel_-_pl_n_acc	P
P_rel_-_pl_n_dat	P
P_rel_-_pl_n_gen	P
P_rel_-_pl_n_ins	P
P_rel_-_pl_n_loc	P
P_rel_-_pl_n_nom	P
P_rel_-_sg_f_acc	P
P_rel_-_sg_f_gen	P
P_rel_-_sg_f_ins	P
P_rel_-_sg_f_loc	P
P_rel_-_sg_m_acc	P
P_rel_-_sg_m_gen	P
P_rel_-_sg_m_ins	P
P_rel_-_sg_m_loc	P
P_rel_-_sg_n_acc	P
P_rel_-_sg_n_dat	P
P_rel_-_sg_n_gen	P
P_rel_-_sg_n_ins	P
P_rel_-_sg_n_loc	P
P_rel_-_sg_n_nom	P
Prep	Prep
V_aux_aor_1_pl_-_-	V_aux
V_aux_aor_1_sg_-_-	V_aux
V_aux_aor_2_pl_-_-	V_aux
V_aux_aor_2_sg_-_-	V_aux
V_aux_aor_3_pl_-_-	V_aux
V_aux_aor_3_sg_-_-	V_aux
V_aux_imper_1_pl_-_-	V_aux
V_aux_imper_2_pl_-_-	V_aux
V_aux_imper_2_sg_-_-	V_aux
V_aux_impf_1_pl_-_-	V_aux
V_aux_impf_1_sg_-_-	V_aux
V_aux_impf_2_pl_-_-	V_aux
V_aux_impf_2_sg_-_-	V_aux
V_aux_impf_3_pl_-_-	V_aux
V_aux_impf_3_sg_-_-	V_aux
V_aux_inf_-_-_-_-	V_aux
V_aux_partact_-_pl_f_-	V_aux
V_aux_partact_-_pl_m_-	V_aux
V_aux_partact_-_pl_n_-	V_aux
V_aux_partact_-_sg_f_-	V_aux
V_aux_partact_-_sg_m_-	V_aux
V_aux_partact_-_sg_n_-	V_aux
V_aux_pres_1_pl_-_-	V_aux
V_aux_pres_1_sg_-_-	V_aux
V_aux_pres_2_pl_-_-	V_aux
V_aux_pres_2_sg_-_-	V_aux
V_aux_pres_3_pl_-_-	V_aux
V_aux_pres_3_sg_-_-	V_aux
V_main_aor_1_pl_-_-	V_main
V_main_aor_1_sg_-_-	V_main
V_main_aor_2_pl_-_-	V_main
V_main_aor_2_sg_-_-	V_main
V_main_aor_3_pl_-_-	V_main
V_main_aor_3_sg_-_-	V_main
V_main_fut_1_pl_-_-	V_main
V_main_fut_1_sg_-_-	V_main
V_main_fut_2_pl_-_-	V_main
V_main_fut_2_sg_-_-	V_main
V_main_fut_3_pl_-_-	V_main
V_main_fut_3_sg_-_-	V_main
V_main_fut_-_-_-_-	V_main
V_main_imper_1_pl_-_-	V_main
V_main_imper_2_pl_-_-	V_main
V_main_imper_2_sg_-_-	V_main
V_main_impf_1_pl_-_-	V_main
V_main_impf_1_sg_-_-	V_main
V_main_impf_2_pl_-_-	V_main
V_main_impf_2_sg_-_-	V_main
V_main_impf_3_pl_-_-	V_main
V_main_impf_3_sg_-_-	V_main
V_main_inf_-_-_-_-	V_main
V_main_partact_-_pl_f_-	V_main
V_main_partact_-_pl_m_-	V_main
V_main_partact_-_pl_n_-	V_main
V_main_partact_-_sg_f_-	V_main
V_main_partact_-_sg_m_-	V_main
V_main_partact_-_sg_n_-	V_main
V_main_partpass_-_pl_f_-	V_main
V_main_partpass_-_pl_m_-	V_main
V_main_partpass_-_pl_n_-	V_main
V_main_partpass_-_sg_f_-	V_main
V_main_partpass_-_sg_m_-	V_main
V_main_partpass_-_sg_n_-	V_main
V_main_partpast_-_-_-_-	V_main
V_main_partpres_-_-_-_-	V_main
V_main_pres_1_pl_-_-	V_main
V_main_pres_1_sg_-_-	V_main
V_main_pres_2_pl_-_-	V_main
V_main_pres_2_sg_-_-	V_main
V_main_pres_3_pl_-_-	V_main
V_main_pres_3_sg_-_-	V_main
