Morphology
Abr	Abr
A_pos_dat_pl_m_-	A
A_pos_dat_pl_n_-	A
A_pos_dat_sg_f_-	A
A_pos_dat_sg_m_-	A
A_pos_dat_sg_n_-	A
A_pos_gen_pl_f_-	A
A_pos_gen_pl_m_-	A
A_pos_gen_pl_n_-	A
A_pos_gen_sg_f_-	A
A_pos_gen_sg_m_-	A
A_pos_gen_sg_n_-	A
A_pos_ins_pl_f_-	A
A_pos_ins_pl_m_-	A
A_pos_ins_pl_n_-	A
A_pos_ins_sg_f_-	A
A_pos_ins_sg_m_-	A
A_pos_ins_sg_n_-	A
A_pos_loc_pl_f_-	A
A_pos_loc_pl_m_-	A
A_pos_loc_pl_n_-	A
A_pos_loc_sg_f_-	A
A_pos_loc_sg_m_-	A
A_pos_loc_sg_n_-	A
A_pos_nom_pl_f_-	A
A_pos_nom_pl_m_-	A
A_pos_nom_pl_n_-	A
A_pos_nom_sg_f_-	A
A_pos_nom_sg_m_-	A
A_pos_nom_sg_n_-	A
A_pos_voc_pl_f_-	A
A_pos_voc_pl_m_-	A
A_pos_voc_pl_n_-	A
A_pos_voc_sg_f_-	A
A_pos_voc_sg_m_-	A
A_pos_voc_sg_n_-	A
A_qual_acc_pl_f_comp	A
A_qual_acc_pl_f_pos	A
A_qual_acc_pl_f_sup	A
A_qual_acc_pl_m_comp	A
A_qual_acc_pl_m_pos	A
A_qual_acc_pl_m_sup	A
A_qual_acc_pl_n_comp	A
A_qual_acc_pl_n_pos	A
A_qual_acc_pl_n_sup	A
A_qual_acc_sg_f_comp	A
A_qual_acc_sg_f_pos	A
A_qual_acc_sg_f_sup	A
A_qual_acc_sg_m_comp	A
A_qual_acc_sg_m_pos	A
A_qual_acc_sg_m_sup	A
A_qual_acc_sg_n_comp	A
A_qual_acc_sg_n_pos	A
A_qual_acc_sg_n_sup	A
A_qual_dat_pl_f_comp	A
A_qual_dat_pl_f_pos	A
A_qual_dat_pl_f_sup	A
A_qual_dat_pl_m_comp	A
A_qual_dat_pl_m_pos	A
A_qual_dat_pl_m_sup	A
A_qual_dat_pl_n_comp	A
A_qual_dat_pl_n_pos	A
A_qual_dat_pl_n_sup	A
A_qual_dat_sg_f_comp	A
A_qual_dat_sg_f_pos	A
A_qual_dat_sg_f_sup	A
A_qual_dat_sg_m_comp	A
A_qual_dat_sg_m_pos	A
A_qual_dat_sg_m_sup	A
A_qual_dat_sg_n_comp	A
A_qual_dat_sg_n_pos	A
A_qual_dat_sg_n_sup	A
A_qual_gen_pl_f_comp	A
A_qual_gen_pl_f_pos	A
A_qual_gen_pl_f_sup	A
A_qual_gen_pl_m_comp	A
A_qual_gen_pl_m_pos	A
A_qual_gen_pl_m_sup	A
A_qual_gen_pl_n_comp	A
A_qual_gen_pl_n_pos	A
A_qual_gen_pl_n_sup	A
A_qual_gen_sg_f_comp	A
